name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Knight and Day,PG-13,Action,2010,"June 23, 2010 (United States)",6.3,184000,James Mangold,Patrick O'Neill,Tom Cruise,United States,117000000,261989769,Twentieth Century Fox,109
Piranha 3D,R,Comedy,2010,"August 20, 2010 (United States)",5.4,87000,Alexandre Aja,Pete Goldfinger,Elisabeth Shue,United States,24000000,83188165,Dimension Films,88
127 Hours,R,Biography,2010,"January 28, 2011 (United States)",7.5,356000,Danny Boyle,Danny Boyle,James Franco,United States,18000000,60738797,Fox Searchlight Pictures,94
The Expendables,R,Action,2010,"August 13, 2010 (United States)",6.5,331000,Sylvester Stallone,Dave Callaham,Sylvester Stallone,United States,80000000,274470394,Millennium Films,103
The Other Guys,PG-13,Action,2010,"August 6, 2010 (United States)",6.6,249000,Adam McKay,Adam McKay,Will Ferrell,United States,100000000,170458922,Columbia Pictures,107
TRON: Legacy,PG,Action,2010,"December 17, 2010 (United States)",6.8,319000,Joseph Kosinski,Edward Kitsis,Jeff Bridges,United States,170000000,400063852,Walt Disney Pictures,125
Life as We Know It,PG-13,Comedy,2010,"October 8, 2010 (United States)",6.5,126000,Greg Berlanti,Ian Deitchman,Katherine Heigl,United States,38000000,105734416,Josephson Entertainment,114
I Saw the Devil,Not Rated,Action,2010,"August 12, 2010 (South Korea)",7.8,117000,Jee-woon Kim,Park Hoon-jung,Lee Byung-hun,South Korea,0,12966357,Softbank Ventures,144
Toy Story 3,G,Animation,2010,"June 18, 2010 (United States)",8.2,776000,Lee Unkrich,John Lasseter,Tom Hanks,United States,200000000,1066970811,Walt Disney Pictures,103
The Next Three Days,PG-13,Action,2010,"November 19, 2010 (United States)",7.3,189000,Paul Haggis,Paul Haggis,Russell Crowe,United States,30000000,67448651,Lionsgate,133
Easy A,PG-13,Comedy,2010,"September 17, 2010 (United States)",7,368000,Will Gluck,Bert V. Royal,Emma Stone,United States,8000000,75026327,Screen Gems,92
The King's Speech,R,Biography,2010,"December 25, 2010 (United States)",8,651000,Tom Hooper,David Seidler,Colin Firth,United Kingdom,15000000,427374317,The Weinstein Company,118
The Fighter,R,Biography,2010,"December 17, 2010 (United States)",7.8,348000,David O. Russell,Scott Silver,Mark Wahlberg,United States,25000000,129190869,Closest to the Hole Productions,116
Machete,R,Action,2010,"September 3, 2010 (United States)",6.6,192000,Ethan Maniquis,Robert Rodriguez,Danny Trejo,United States,10500000,45491656,Overnight Films,105
The Debt,R,Drama,2010,"August 31, 2011 (United States)",6.8,67000,John Madden,Matthew Vaughn,Helen Mirren,United States,20000000,45636368,Miramax,113
Megamind,PG,Animation,2010,"November 5, 2010 (United States)",7.2,236000,Tom McGrath,Alan Schoolcraft,Will Ferrell,United States,130000000,321885765,DreamWorks Animation,95
The Losers,PG-13,Action,2010,"April 23, 2010 (United States)",6.3,94000,Sylvain White,Peter Berg,Idris Elba,United States,25000000,29397654,Warner Bros.,97
Unstoppable,PG-13,Action,2010,"November 12, 2010 (United States)",6.8,189000,Tony Scott,Mark Bomback,Denzel Washington,United States,100000000,167805466,Twentieth Century Fox,98
The Karate Kid,PG,Action,2010,"June 11, 2010 (United States)",6.2,168000,Harald Zwart,Christopher Murphey,Jackie Chan,United States,40000000,359126022,Columbia Pictures,140
Eat Pray Love,PG-13,Biography,2010,"August 13, 2010 (United States)",5.8,92000,Ryan Murphy,Ryan Murphy,Julia Roberts,United States,60000000,204594016,Columbia Pictures,133
Centurion,R,Action,2010,"July 30, 2010 (United States)",6.3,80000,Neil Marshall,Neil Marshall,Michael Fassbender,United Kingdom,12000000,6890432,PathÃ© Pictures International,97
The A-Team,PG-13,Action,2010,"June 11, 2010 (United States)",6.7,250000,Joe Carnahan,Joe Carnahan,Liam Neeson,United States,110000000,177238796,Twentieth Century Fox,117
Animal Kingdom,R,Crime,2010,"June 3, 2010 (Australia)",7.3,56000,David MichÃ´d,David MichÃ´d,James Frecheville,Australia,0,7209912,Porchlight Films,113
Hot Tub Time Machine,R,Comedy,2010,"March 26, 2010 (United States)",6.4,165000,Steve Pink,Josh Heald,John Cusack,United States,36000000,64780213,Metro-Goldwyn-Mayer (MGM),101
Prince of Persia: the Sands of Time,PG-13,Action,2010,"May 28, 2010 (United States)",6.6,277000,Mike Newell,Boaz Yakin,Jake Gyllenhaal,United States,200000000,336365676,Walt Disney Pictures,116
Diary of a Wimpy Kid,PG,Animation,2010,"March 19, 2010 (United States)",6.2,45000,Thor Freudenthal,Jackie Filgo,Zachary Gordon,United States,15000000,76196538,Color Force,120
Never Let Me Go,R,Drama,2010,"October 15, 2010 (United States)",7.1,140000,Mark Romanek,Kazuo Ishiguro,Keira Knightley,United Kingdom,15000000,9918093,DNA Films,103
Predators,R,Action,2010,"July 9, 2010 (United States)",6.4,216000,NimrÃ³d Antal,Alex Litvak,Adrien Brody,United States,40000000,127233108,Twentieth Century Fox,107
Buried,R,Drama,2010,"October 15, 2010 (United States)",7,153000,Rodrigo CortÃ©s,Chris Sparling,Ryan Reynolds,Spain,3000000,19439764,Audiovisual Aval SGR,95
Legion,R,Action,2010,"January 22, 2010 (United States)",5.3,101000,Scott Stewart,Peter Schink,Paul Bettany,United States,26000000,67918658,Screen Gems,100
Remember Me,PG-13,Drama,2010,"March 12, 2010 (United States)",7.1,141000,Allen Coulter,Will Fetters,Robert Pattinson,United States,16000000,56032889,Summit Entertainment,113
Jonah Hex,PG-13,Action,2010,"June 18, 2010 (United States)",4.7,56000,Jimmy Hayward,Mark Neveldine,Josh Brolin,United States,47000000,10903312,Warner Bros.,81
Salt,PG-13,Action,2010,"July 23, 2010 (United States)",6.4,301000,Phillip Noyce,Kurt Wimmer,Angelina Jolie,United States,110000000,293503354,Columbia Pictures,100
Morning Glory,PG-13,Comedy,2010,"November 10, 2010 (United States)",6.5,76000,Roger Michell,Aline Brosh McKenna,Rachel McAdams,United States,40000000,60040976,Bad Robot,107
Winter's Bone,R,Drama,2010,"July 16, 2010 (United States)",7.2,138000,Debra Granik,Debra Granik,Jennifer Lawrence,United States,2000000,13796834,Anonymous Content,100
A Nightmare on Elm Street,R,Crime,2010,"April 30, 2010 (United States)",5.2,95000,Samuel Bayer,Wesley Strick,Jackie Earle Haley,United States,35000000,115695182,New Line Cinema,95
Resident Evil: Afterlife,R,Action,2010,"September 10, 2010 (United States)",5.8,165000,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich,Germany,60000000,300228084,Screen Gems,96
Takers,PG-13,Action,2010,"August 27, 2010 (United States)",6.2,60000,John Luessenhop,Peter Allen,Chris Brown,United States,32000000,80205382,Screen Gems,107
Boy,Not Rated,Comedy,2010,"March 25, 2010 (New Zealand)",7.5,23000,Taika Waititi,Taika Waititi,James Rolleston,New Zealand,0,43551154,Whenua Films,87
The Way Back,PG-13,Adventure,2010,"January 21, 2011 (United States)",7.3,112000,Peter Weir,Slavomir Rawicz,Jim Sturgess,United States,30000000,24172201,Exclusive Films,133
Killers,PG-13,Action,2010,"June 4, 2010 (United States)",5.5,89000,Robert Luketic,Bob DeRosa,Katherine Heigl,United States,75000000,98159963,Lionsgate,100
Tucker and Dale vs Evil,R,Comedy,2010,"December 9, 2010 (Kazakhstan)",7.5,169000,Eli Craig,Eli Craig,Tyler Labine,Canada,0,5224938,Reliance Big Pictures,89
Due Date,R,Comedy,2010,"November 5, 2010 (United States)",6.5,329000,Todd Phillips,Alan R. Cohen,Robert Downey Jr.,United States,65000000,211780824,Warner Bros.,95
Devil,PG-13,Horror,2010,"September 17, 2010 (United States)",6.2,137000,John Erick Dowdle,Brian Nelson,Chris Messina,United States,10000000,62695489,Universal Pictures,80
Green Zone,R,Action,2010,"March 12, 2010 (United States)",6.8,133000,Paul Greengrass,Brian Helgeland,Matt Damon,United Kingdom,100000000,154711438,Universal Pictures,115
Faster,R,Action,2010,"November 24, 2010 (United States)",6.4,103000,George Tillman Jr.,Tony Gayton,Dwayne Johnson,United States,24000000,35626958,CBS Films,98
Super,R,Action,2010,"June 10, 2011 (Iceland)",6.7,76000,James Gunn,James Gunn,Rainn Wilson,United States,2500000,422618,This Is That Productions,96
It's Kind of a Funny Story,PG-13,Comedy,2010,"October 8, 2010 (United States)",7.1,139000,Anna Boden,Anna Boden,Keir Gilchrist,United States,8000000,6491240,Focus Features,101
The Crazies,R,Horror,2010,"February 26, 2010 (United States)",6.5,114000,Breck Eisner,Scott Kosar,Radha Mitchell,United States,20000000,54806823,Overture Films,101
Shrek Forever After,PG,Animation,2010,"May 21, 2010 (United States)",6.3,190000,Mike Mitchell,Josh Klausner,Mike Myers,United States,165000000,752600867,DreamWorks Animation,93
The Chronicles of Narnia: the Voyage of the Dawn Treader,PG,Adventure,2010,"December 10, 2010 (United States)",6.3,145000,Michael Apted,Christopher Markus,Ben Barnes,United States,155000000,415686217,Fox 2000 Pictures,113
Saw: The Final Chapter,R,Crime,2010,NA,5.6,93000,Kevin Greutert,Patrick Melton,Tobin Bell,NA,0,NA,NA,NA
Let Me In,R,Drama,2010,"October 1, 2010 (United States)",7.1,115000,Matt Reeves,Matt Reeves,Kodi Smit-McPhee,United Kingdom,20000000,27093592,Overture Films,116
The Wolfman,R,Drama,2010,NA,5.8,104000,Joe Johnston,Andrew Kevin Walker,Benicio Del Toro,NA,0,NA,NA,NA
The Kids Are All Right,R,Comedy,2010,"July 30, 2010 (United States)",7,127000,Lisa Cholodenko,Lisa Cholodenko,Annette Bening,United States,4000000,34758951,Focus Features,106
Date Night,PG-13,Comedy,2010,"April 9, 2010 (United States)",6.3,155000,Shawn Levy,Josh Klausner,Steve Carell,United States,55000000,152263880,Twentieth Century Fox,88
Leap Year,PG,Comedy,2010,"January 8, 2010 (United States)",6.5,99000,Anand Tucker,Deborah Kaplan,Amy Adams,United States,19000000,32686500,Universal Pictures,100
Four Lions,R,Comedy,2010,"May 7, 2010 (United Kingdom)",7.3,74000,Christopher Morris,Christopher Morris,Will Adamsdale,United Kingdom,0,6149356,Film4,97
Little Fockers,PG-13,Comedy,2010,"December 22, 2010 (United States)",5.5,108000,Paul Weitz,John Hamburg,Ben Stiller,United States,100000000,310650585,Universal Pictures,98
The Runaways,R,Biography,2010,"April 8, 2010 (Malaysia)",6.5,47000,Floria Sigismondi,Floria Sigismondi,Kristen Stewart,United States,10000000,4681651,River Road Entertainment,106
The Sorcerer's Apprentice,PG,Action,2010,"July 14, 2010 (United States)",6.1,156000,Jon Turteltaub,Lawrence Konner,Nicolas Cage,United States,150000000,215283742,Walt Disney Pictures,109
MacGruber,R,Action,2010,"May 21, 2010 (United States)",5.5,43000,Jorma Taccone,Will Forte,Will Forte,United States,10000000,9322895,Broadway Video,90
Frozen,R,Adventure,2010,"March 25, 2010 (Kazakhstan)",6.1,70000,Adam Green,Adam Green,Shawn Ashmore,United States,0,3843774,A Bigger Boat,93
Beyond the Black Rainbow,R,Horror,2010,"April 22, 2011 (United States)",6,14000,Panos Cosmatos,Panos Cosmatos,Eva Bourne,Canada,0,56491,Chromewood Productions,110
The Ghost Writer,PG-13,Crime,2010,"March 19, 2010 (United States)",7.2,159000,Roman Polanski,Robert Harris,Ewan McGregor,France,45000000,60331447,R.P. Productions,128
Skyline,PG-13,Action,2010,"November 12, 2010 (United States)",4.4,88000,Colin Strause,Joshua Cordes,Eric Balfour,United States,10000000,66984887,Rogue Pictures,92
Uncle Boonmee Who Can Recall His Past Lives,Not Rated,Drama,2010,"September 1, 2010 (France)",6.7,15000,Apichatpong Weerasethakul,Phra Sripariyattiweti,Thanapat Saisaymar,Thailand,0,1214424,Kick the Machine,114
Edge of Darkness,R,Action,2010,"January 29, 2010 (United States)",6.6,91000,Martin Campbell,William Monahan,Mel Gibson,United Kingdom,80000000,81126522,Warner Bros.,117
The Man from Nowhere,R,Action,2010,"August 5, 2010 (South Korea)",7.8,65000,Jeong-beom Lee,Jeong-beom Lee,Won Bin,South Korea,0,44723232,Cinema Service,119
Ramona and Beezus,G,Comedy,2010,"July 23, 2010 (United States)",6.5,18000,Elizabeth Allen Rosenbaum,Laurie Craig,Joey King,United States,15000000,27293743,Fox 2000 Pictures,103
Trollhunter,PG-13,Drama,2010,"October 29, 2010 (Norway)",7,71000,AndrÃ© Ã˜vredal,AndrÃ© Ã˜vredal,Otto Jespersen,Norway,0,5341098,Filmkameratene A/S,103
Valentine's Day,PG-13,Comedy,2010,"February 12, 2010 (United States)",5.7,116000,Garry Marshall,Katherine Fugate,Julia Roberts,United States,52000000,216485654,New Line Cinema,125
Letters to Juliet,PG,Adventure,2010,"May 14, 2010 (United States)",6.5,95000,Gary Winick,Jose Rivera,Amanda Seyfried,United States,30000000,79628830,Summit Entertainment,105
Dear John,PG-13,Drama,2010,"February 5, 2010 (United States)",6.3,142000,Lasse HallstrÃ¶m,Jamie Linden,Channing Tatum,United States,25000000,114984666,Screen Gems,108
Get Him to the Greek,R,Comedy,2010,"June 4, 2010 (United States)",6.3,172000,Nicholas Stoller,Nicholas Stoller,Jonah Hill,United States,40000000,91720255,Universal Pictures,109
Dinner for Schmucks,PG-13,Comedy,2010,"July 30, 2010 (United States)",5.9,103000,Jay Roach,David Guion,Steve Carell,United States,69000000,86855739,Paramount Pictures,114
How Do You Know,PG-13,Comedy,2010,"December 17, 2010 (United States)",5.4,48000,James L. Brooks,James L. Brooks,Reese Witherspoon,United States,120000000,48668907,Columbia Pictures,121
The Secret World of Arrietty,G,Animation,2010,"February 17, 2012 (United States)",7.6,85000,Hiromasa Yonebayashi,Mary Norton,Amy Poehler,Japan,23000000,149411550,Studio Ghibli,94
Gulliver's Travels,PG,Adventure,2010,"December 25, 2010 (United States)",4.9,67000,Rob Letterman,Joe Stillman,Jack Black,United States,112000000,237382724,Twentieth Century Fox,85
Submarine,R,Comedy,2010,"March 18, 2011 (United Kingdom)",7.3,87000,Richard Ayoade,Richard Ayoade,Craig Roberts,United Kingdom,0,3875173,The Weinstein Company,97
Tooth Fairy,PG,Comedy,2010,"January 22, 2010 (United States)",5,44000,Michael Lembeck,Lowell Ganz,Dwayne Johnson,United States,48000000,112462508,Twentieth Century Fox,101
The Switch,PG-13,Comedy,2010,"August 20, 2010 (United States)",6.1,100000,Josh Gordon,Jeffrey Eugenides,Jennifer Aniston,United States,19000000,49843011,Mandate Pictures,101
Step Up,PG-13,Drama,2010,"August 6, 2010 (United States)",6.2,56000,Jon M. Chu,Amy Andelson,Sharni Vinson,United States,30000000,159291809,Summit Entertainment,107
The Way,PG-13,Comedy,2010,"November 19, 2010 (Spain)",7.4,31000,Emilio Estevez,Emilio Estevez,Martin Sheen,Spain,0,13348704,Filmax Entertainment,123
Elektra Luxx,R,Comedy,2010,"March 14, 2010 (United States)",5.1,7000,Sebastian Gutierrez,Sebastian Gutierrez,Joseph Gordon-Levitt,United States,0,11514,Gato Negro Films,100
Black Death,R,Action,2010,"June 11, 2010 (United Kingdom)",6.4,45000,Christopher Smith,Dario Poloni,Eddie Redmayne,Germany,0,382879,Egoli Tossell Pictures,102
Certified Copy,Not Rated,Drama,2010,"March 25, 2011 (United States)",7.3,22000,Abbas Kiarostami,Abbas Kiarostami,Juliette Binoche,France,0,7736632,MK2 Productions,106
Wall Street: Money Never Sleeps,PG-13,Drama,2010,"September 24, 2010 (United States)",6.2,100000,Oliver Stone,Allan Loeb,Shia LaBeouf,United States,70000000,134748021,Twentieth Century Fox,133
The Last Song,PG,Drama,2010,"March 31, 2010 (United States)",6,83000,Julie Anne Robinson,Nicholas Sparks,Miley Cyrus,United States,20000000,89137047,Touchstone Pictures,107
Cop Out,R,Action,2010,"February 26, 2010 (United States)",5.6,86000,Kevin Smith,Robb Cullen,Bruce Willis,United States,30000000,55611001,Warner Bros.,107
Rubber,R,Comedy,2010,"November 10, 2010 (France)",5.8,35000,Quentin Dupieux,Quentin Dupieux,Stephen Spinella,France,500000,101729,Realitism Films,82
Biutiful,R,Drama,2010,"February 4, 2011 (United States)",7.5,88000,Alejandro G. IÃ±Ã¡rritu,Alejandro G. IÃ±Ã¡rritu,Javier Bardem,Mexico,0,25147786,Menageatroz,148
You Again,PG,Comedy,2010,"September 24, 2010 (United States)",5.8,50000,Andy Fickman,Moe Jelline,Kristen Bell,United States,20000000,32054369,Touchstone Pictures,105
The Bounty Hunter,PG-13,Action,2010,"March 19, 2010 (United States)",5.6,123000,Andy Tennant,Sarah Thorp,Jennifer Aniston,United States,40000000,136333522,Columbia Pictures,110
From Paris with Love,R,Action,2010,"February 5, 2010 (United States)",6.4,114000,Pierre Morel,Adi Hasak,John Travolta,France,52000000,52844496,EuropaCorp,92
13 Assassins,R,Action,2010,"September 25, 2010 (Japan)",7.6,63000,Takashi Miike,Kaneo Ikegami,KÃ´ji Yakusho,Japan,6000000,18689058,Sedic International,141
Nanny McPhee Returns,PG,Comedy,2010,"August 20, 2010 (United States)",6.1,30000,Susanna White,Emma Thompson,Emma Thompson,United Kingdom,35000000,93251121,Universal Pictures,109
All Good Things,R,Crime,2010,"December 3, 2010 (Canada)",6.3,54000,Andrew Jarecki,Marcus Hinchey,Ryan Gosling,United States,0,1754389,Groundswell Productions,101
Wild Target,PG-13,Action,2010,"June 18, 2010 (United Kingdom)",6.8,37000,Jonathan Lynn,Lucinda Coxon,Bill Nighy,United Kingdom,8000000,3494154,Magic Light Pictures,98
When in Rome,PG-13,Comedy,2010,"January 29, 2010 (United States)",5.6,60000,Mark Steven Johnson,David Diamond,Kristen Bell,United States,55000000,43053376,Touchstone Pictures,91
Going the Distance,R,Comedy,2010,"September 3, 2010 (United States)",6.3,57000,Nanette Burstein,Geoff LaTulippe,Drew Barrymore,United States,32000000,42059111,New Line Cinema,102
Somewhere,R,Comedy,2010,"January 21, 2011 (United States)",6.3,44000,Sofia Coppola,Sofia Coppola,Stephen Dorff,United States,7000000,14788642,Focus Features,97
Secretariat,PG,Biography,2010,"October 8, 2010 (United States)",7.2,27000,Randall Wallace,Mike Rich,Diane Lane,United States,35000000,60321861,Walt Disney Pictures,123
Ip Man 2,R,Action,2010,"April 29, 2010 (China)",7.5,100000,Wilson Yip,Tai-lee Chan,Donnie Yen,Hong Kong,0,15089448,Golden Harvest Company,108
Death at a Funeral,R,Comedy,2010,"April 16, 2010 (United States)",5.7,48000,Neil LaBute,Dean Craig,Chris Rock,United States,21000000,49050886,Screen Gems,92
The Spy Next Door,PG,Action,2010,"January 15, 2010 (United States)",5.5,42000,Brian Levant,Jonathan Bernstein,Jackie Chan,United States,28000000,66166000,Relativity Media,94
Hereafter,PG-13,Drama,2010,"October 22, 2010 (United States)",6.4,91000,Clint Eastwood,Peter Morgan,Matt Damon,United States,50000000,106956330,Warner Bros.,129
Repo Men,R,Action,2010,"March 19, 2010 (United States)",6.3,103000,Miguel Sapochnik,Eric Garcia,Jude Law,United States,32000000,18409891,Universal Pictures,111
Vampires Suck,PG-13,Comedy,2010,"August 18, 2010 (United States)",3.4,47000,Jason Friedberg,Jason Friedberg,Jenn Proske,United States,20000000,80547866,New Regency Productions,82
I'm Still Here,R,Comedy,2010,"September 16, 2010 (Australia)",6.2,22000,Casey Affleck,Casey Affleck,Joaquin Phoenix,United States,0,626396,They Are Going to Kill Us Productions,108
The Whistleblower,R,Biography,2010,"October 27, 2011 (Germany)",7.1,32000,Larysa Kondracki,Larysa Kondracki,Rachel Weisz,Canada,0,1870392,Samuel Goldwyn Films,112
Tamara Drewe,R,Comedy,2010,"September 10, 2010 (United Kingdom)",6.2,21000,Stephen Frears,Posy Simmonds,Gemma Arterton,United Kingdom,0,12037973,Ruby Films,107
Twelve,R,Action,2010,"August 6, 2010 (United States)",5.6,12000,Joel Schumacher,Jordan Melamed,Chace Crawford,United States,5000000,2648195,Gaumont,93
The Housemaid,Not Rated,Drama,2010,"January 26, 2011 (United States)",6.4,9800,Sang-soo Im,Ki-young Kim,Jeon Do-yeon,South Korea,0,15038301,Sidus FNH-Benex Cinema Fund 1,107
Beginners,R,Comedy,2010,"June 9, 2011 (Germany)",7.2,89000,Mike Mills,Mike Mills,Ewan McGregor,United States,3200000,14311701,Olympus Pictures,105
Legend of the Guardians: the Owls of Ga'Hoole,PG,Animation,2010,"September 24, 2010 (United States)",6.9,80000,Zack Snyder,John Orloff,Jim Sturgess,United States,80000000,140073390,Warner Bros.,97
Rabbit Hole,PG-13,Drama,2010,"January 28, 2011 (United States)",7,48000,John Cameron Mitchell,David Lindsay-Abaire,Nicole Kidman,United States,5000000,5144717,Olympus Pictures,91
Meek's Cutoff,PG,Adventure,2010,"April 15, 2011 (United Kingdom)",6.6,13000,Kelly Reichardt,Jonathan Raymond,Michelle Williams,United States,2000000,1205257,Evenstar Films,104
Conviction,R,Biography,2010,"November 5, 2010 (United States)",7.2,43000,Tony Goldwyn,Pamela Gray,Hilary Swank,Switzerland,12500000,11104555,Omega Entertainment,107
Trust,R,Crime,2010,"April 28, 2011 (Israel)",6.9,42000,David Schwimmer,Andy Bellin,Clive Owen,United States,4000000,595802,Millennium Films,106
My Name Is Khan,PG-13,Drama,2010,"February 12, 2010 (United States)",8,101000,Karan Johar,Shibani Bathija,Shah Rukh Khan,India,12000000,42345360,Dharma Productions,165
Last Night,R,Drama,2010,"February 16, 2011 (France)",6.6,47000,Massy Tadjedin,Massy Tadjedin,Keira Knightley,United States,0,11042068,Gaumont,93
The Company Men,R,Drama,2010,"February 11, 2011 (United States)",6.7,44000,John Wells,John Wells,Ben Affleck,United States,15000000,8087000,The Weinstein Company,104
Cyrus,R,Comedy,2010,"July 16, 2010 (United States)",6.3,34000,Jay Duplass,Mark Duplass,John C. Reilly,United States,7000000,9933873,Dune Entertainment III,91
Paranormal Activity 2,R,Horror,2010,"October 22, 2010 (United States)",5.7,100000,Tod Williams,Michael R. Perry,Katie Featherston,United States,3000000,177512032,Paramount Pictures,91
